# southern hemisphere Optical Thickness at 550 nm
# from <a href="http://data.giss.nasa.gov/modelforce/strataer/">NASA/GISS</a>
# AOD [1] stratospheric aerosol optical depth
2013 10 0.000
2013 11 0.000
2013 12 0.000
2014  1 0.000
2014  2 0.000
2014  3 0.000
2014  4 0.000
2014  5 0.000
2014  6 0.000
2014  7 0.000
2014  8 0.000
2014  9 0.000
2014 10 0.000
2014 11 0.000
2014 12 0.000
2015  1 0.000
2015  2 0.000
2015  3 0.000
2015  4 0.000
2015  5 0.000
2015  6 0.000
2015  7 0.000
2015  8 0.000
2015  9 0.000
2015 10 0.000
2015 11 0.000
2015 12 0.000
2016  1 0.000
2016  2 0.000
2016  3 0.000
2016  4 0.000
2016  5 0.000
2016  6 0.000
2016  7 0.000
2016  8 0.000
2016  9 0.000
2016 10 0.000
2016 11 0.000
2016 12 0.000
2017  1 0.000
2017  2 0.000
2017  3 0.000
2017  4 0.000
2017  5 0.000
2017  6 0.000
2017  7 0.000
2017  8 0.000
2017  9 0.000
2017 10 0.000
2017 11 0.000
2017 12 0.000
